datetime,open,high,low,close,volume
1502755200000.0,12600.0,14489.9,12600.0,13258.15,0.5365
1502884800000.0,14500.0,14500.0,14433.81,14433.81,0.1246
1502971200000.0,14824.58,14824.58,14367.77,14367.77,0.99405
1503057600000.0,14077.73,14077.73,13537.38,13537.38,0.0755
1503316800000.0,13315.14,13335.11,13315.14,13335.11,0.15
1503360000000.0,12500.0,12500.0,12500.0,12500.0,0.008
1503403200000.0,13816.77,13816.77,13816.77,13816.77,0.08685098
1503446400000.0,13500.85,13500.85,13500.85,13500.85,0.01621981
1503489600000.0,13983.44,14050.0,13676.91,13812.54,0.24971912
1503576000000.0,14049.99,14503.1,14040.09,14503.1,0.46301884
1503619200000.0,13590.51,13590.51,13590.51,13590.51,0.002
1503662400000.0,14456.13,14707.24,14456.13,14707.24,0.05463096
1503705600000.0,14900.0,14900.0,14900.0,14900.0,0.05
1503748800000.0,14500.0,14500.0,14500.0,14500.0,0.01724138
1503921600000.0,14294.29,14485.49,14294.29,14485.49,1.195409
1503964800000.0,14533.79,14616.73,14100.0,14100.0,0.36729316
1504008000000.0,15214.98,15246.84,14291.79,14291.79,0.19983721
1504051200000.0,14389.22,14389.22,14328.83,14328.83,0.1199
1504094400000.0,15000.0,15208.28,15000.0,15208.28,0.00726714
1504267200000.0,14989.76,16049.9,14989.76,16049.9,0.1245
1504310400000.0,15324.38,15448.02,15324.38,15448.02,0.002072
1504353600000.0,15200.0,15200.0,15200.0,15200.0,0.219
1504440000000.0,15259.54,15259.54,15259.54,15259.54,0.003
1504526400000.0,14378.09,14916.61,13474.52,14916.61,0.77720787
1504612800000.0,13684.1,17500.0,13667.51,14081.67,0.21856
1504656000000.0,15500.0,17500.0,15500.0,17500.0,0.21036572
1504699200000.0,15450.39,17500.0,15112.5,17000.0,0.87621756
1504742400000.0,15281.61,16900.0,15112.5,15600.0,0.387297
1504785600000.0,15112.5,16900.0,14607.6,15310.0,1.39961998
1504828800000.0,15310.0,15576.99,15310.0,15576.99,0.314117
1504872000000.0,14531.37,15800.0,13246.42,15800.0,0.6056285
1504915200000.0,14374.8,14724.42,14374.8,14691.35,0.28452451
1504958400000.0,14423.9,15800.0,14000.0,14000.0,0.37836116
1505001600000.0,14073.15,14127.86,13950.0,13950.0,0.6688258
1505044800000.0,14446.69,14488.02,14446.69,14488.02,0.19011265
1505131200000.0,13310.11,14098.87,13310.11,13973.04,0.74619097
1505174400000.0,14041.54,14118.06,14041.54,14118.06,0.22932508
1505217600000.0,14215.19,14260.62,13678.71,13735.84,2.23499572
1505260800000.0,13380.0,13380.0,12470.24,12647.62,1.021
1505304000000.0,11967.26,13176.35,11919.17,12219.44,0.60353045
1505347200000.0,13000.0,13249.45,12135.41,12135.41,1.97308933
1505390400000.0,12000.0,14150.0,10605.0,10777.31,1.93268678
1505433600000.0,10615.0,10615.0,10605.0,10605.0,1.677157
1505476800000.0,11000.0,18000.0,11000.0,18000.0,0.38105111
1505520000000.0,17990.0,18000.0,17990.0,18000.0,0.88748778
1505606400000.0,14000.0,14000.0,14000.0,14000.0,0.0035
1505649600000.0,13055.91,13055.91,13055.91,13055.91,0.004
1505736000000.0,15799.99,15800.0,15799.99,15800.0,0.1388
1505779200000.0,16000.0,16000.0,16000.0,16000.0,0.05642
1505822400000.0,16000.0,16000.0,16000.0,16000.0,0.0020312
1505865600000.0,15800.0,15800.0,13651.0,13651.0,0.519
1505908800000.0,13800.01,15500.0,13800.0,13800.0,0.23071097
1505952000000.0,15500.0,15500.0,13250.84,13250.84,0.5854
1505995200000.0,13000.01,13000.01,11332.1,11332.1,2.12974047
1506081600000.0,11625.0,11625.0,11625.0,11625.0,0.0865
1506168000000.0,11747.5,11800.59,11747.5,11800.59,0.0418
1506211200000.0,11809.01,11809.01,11809.01,11809.01,0.016
1506340800000.0,13206.43,13228.23,12268.74,12342.54,0.29932
1506384000000.0,13145.62,13147.34,13145.62,13145.62,0.16340034
1506427200000.0,12415.0,13195.03,12350.0,13000.0,0.51106329
1506470400000.0,12350.0,12350.0,12350.0,12350.0,0.0128
1506513600000.0,12922.41,13954.0,12850.0,12850.0,1.146
1506556800000.0,12850.0,12850.0,12850.0,12850.0,0.0307
1506600000000.0,12850.01,13000.0,10000.0,10000.0,0.39653331
1506643200000.0,13600.0,13600.0,13600.0,13600.0,0.0711
1506686400000.0,17996.39,17996.39,9500.0,9500.0,0.02445555
1506945600000.0,13900.0,16000.0,7262.0,16000.0,0.1676
1506988800000.0,15998.9,15998.9,15998.9,15998.9,0.02450165
1507032000000.0,12500.0,14415.13,12500.0,13511.54,1.90123
1507075200000.0,13511.55,13511.55,13456.58,13456.58,0.2376
1507118400000.0,13301.0,14072.93,13163.12,13163.12,0.37088666
1507204800000.0,13643.02,13978.1,13575.68,13575.68,0.5166
1507248000000.0,13978.1,13978.1,13561.98,13615.2,0.0882349
