datetime,open,high,low,close,volume
1500033600000.0,0.075,0.075,0.075,0.075,1.0
1500163200000.0,0.0836,0.0836,0.0832,0.0832,4.5836
1500206400000.0,0.077,0.077,0.0761,0.0761,1.987
1500336000000.0,0.09,0.09,0.09,0.09,3.0197
1500379200000.0,0.0931,0.10910223,0.0931,0.1012,66.02819887
1500465600000.0,0.1,0.1,0.08963435,0.08963435,22.4889
1500508800000.0,0.09126284,0.09126284,0.09126284,0.09126284,0.53
1500552000000.0,0.0896746,0.09119338,0.0841,0.0841,13.20585452
1500595200000.0,0.0841,0.08765726,0.08295178,0.08765726,35.71515982
1500638400000.0,0.0876,0.0876,0.08286662,0.08286662,5.3248
1500681600000.0,0.083,0.083,0.08286662,0.08286662,2.256
1500724800000.0,0.08027034,0.08219999,0.08027034,0.08219999,1.5861
1500897600000.0,0.0826,0.08295493,0.0826,0.0826,3.036628332
1500940800000.0,0.08210222,0.08210222,0.08047773,0.08047773,2.68049
1500984000000.0,0.08069958,0.08501849,0.07671,0.07808965,10.6994
1501070400000.0,0.08095256,0.08095256,0.08086231,0.08086231,1.583
1501156800000.0,0.08039265,0.08039265,0.07560573,0.07560573,30.0029
1501200000000.0,0.07560573,0.07603484,0.069058,0.069058,13.8427
1501243200000.0,0.06872474,0.087,0.0677938,0.0677938,33.758265862
1501286400000.0,0.06938424,0.06948831,0.06612965,0.06612965,6.7021
1501329600000.0,0.067508,0.067508,0.067508,0.067508,3.03111
1501372800000.0,0.07492728,0.07492728,0.07492728,0.07492728,0.506466
1501416000000.0,0.07238306,0.07238306,0.07233641,0.07233641,3.6026
1501459200000.0,0.07133502,0.07133502,0.07133502,0.07133502,1.08
1501545600000.0,0.07258601,0.07657502,0.07162133,0.07657502,7.5831
1501588800000.0,0.08009565,0.08548,0.08009565,0.0822538,8.220515
1501632000000.0,0.08445044,0.08445044,0.08322499,0.08322499,0.132
1501761600000.0,0.08189591,0.08189591,0.08012863,0.08087471,0.67172274
1501804800000.0,0.07999421,0.07999421,0.07999421,0.07999421,0.5
1501848000000.0,0.07792478,0.07882495,0.07713167,0.07751767,9.2067
1501891200000.0,0.07422968,0.07512896,0.0727845,0.07512896,0.5173
1501934400000.0,0.07644642,0.07747403,0.07439069,0.07747403,17.05101018
1501977600000.0,0.07813092,0.0815078,0.07789802,0.07897437,35.533
1502020800000.0,0.07943001,0.08234436,0.07943001,0.08234436,0.5732
1502064000000.0,0.08062903,0.08062903,0.08062903,0.08062903,1.0
1502107200000.0,0.08,0.08,0.08,0.08,3.0
1502150400000.0,0.0789,0.07972186,0.0789,0.07972186,1.4314
1502193600000.0,0.08423134,0.1123,0.08423134,0.08751498,15.147137263
1502236800000.0,0.09302638,0.09316592,0.08912011,0.08912011,5.49916005
1502280000000.0,0.08741142,0.08870641,0.08741142,0.08870641,0.3724
1502366400000.0,0.0871,0.09054363,0.0701,0.08820593,21.5081
1502409600000.0,0.0882,0.0882,0.0882,0.0882,2.8221
1502452800000.0,0.08787,0.08787,0.071,0.08398601,11.8983
1502496000000.0,0.08608902,0.08608902,0.0835493,0.0835493,3.3328
1502539200000.0,0.08382826,0.08382826,0.08157224,0.08157224,0.17
1502582400000.0,0.07601,0.07601,0.07365857,0.07365857,2.5907
1502625600000.0,0.0718984,0.07198268,0.0718984,0.07191885,2.9083
1502712000000.0,0.0716,0.0716,0.06797409,0.0693,23.0352
1502755200000.0,0.06639392,0.06767689,0.06639392,0.06767689,0.9629
1502798400000.0,0.0693,0.0695,0.06848761,0.06848761,0.9742
1502841600000.0,0.06928869,0.06928869,0.06928869,0.06928869,0.61
1502884800000.0,0.063003,0.082,0.063002,0.06961115,3.3948
1502971200000.0,0.06953788,0.06961962,0.06850211,0.06955094,9.0332
1503014400000.0,0.07027761,0.07027761,0.07027761,0.07027761,0.5896277
1503057600000.0,0.07104915,0.07138851,0.07104915,0.07138851,0.133
1503144000000.0,0.07247839,0.0799,0.07136697,0.07136697,1.309057697
1503187200000.0,0.07101739,0.07101739,0.07056486,0.07056486,1.61471
1503230400000.0,0.07101739,0.07531491,0.07041102,0.07041102,3.014
1503273600000.0,0.0799,0.0799,0.0799,0.0799,0.84
1503316800000.0,0.0799,0.09,0.0799,0.08216969,6.2681
1503360000000.0,0.0806616,0.08160766,0.0806616,0.08160766,1.9122
1503403200000.0,0.087,0.089699,0.07541946,0.07742657,17.292
1503446400000.0,0.07742432,0.07900656,0.07662661,0.07900656,2.7407
1503489600000.0,0.07622827,0.07754117,0.07622827,0.07754117,4.4278
1503532800000.0,0.07625984,0.07625984,0.07625984,0.07625984,0.01
1503576000000.0,0.07719,0.07795265,0.07719,0.07719,0.8465
1503619200000.0,0.07514266,0.07539535,0.07510399,0.07510399,7.9068158
1503662400000.0,0.0767972,0.0767972,0.07543015,0.07543015,1.2516
1503748800000.0,0.086,0.086,0.086,0.086,0.035
1503792000000.0,0.0756,0.0756,0.0756,0.0756,0.0148
1503835200000.0,0.0756,0.0756,0.07500001,0.07500001,0.257
1503878400000.0,0.079,0.09101,0.079,0.091,4.14717197
1503921600000.0,0.08030337,0.09101,0.07861322,0.07957389,9.10545
1503964800000.0,0.081751,0.0825,0.081751,0.0825,0.9315
1504008000000.0,0.08175936,0.08175936,0.07891164,0.079,2.2488
1504051200000.0,0.08109827,0.0830455,0.08109827,0.08295805,3.659969484
1504094400000.0,0.08318517,0.0911,0.08318517,0.08478083,15.711246823
1504137600000.0,0.0846859,0.0846859,0.0846859,0.0846859,0.4078
1504224000000.0,0.08309107,0.08309107,0.08299873,0.08299873,1.319
1504267200000.0,0.0816,0.08161213,0.07992836,0.07992836,8.8743593
1504310400000.0,0.07882897,0.07899354,0.07564332,0.07564332,3.1233
1504353600000.0,0.085,0.085,0.07250708,0.07512932,13.0307
1504396800000.0,0.07704358,0.07704358,0.07704358,0.07704358,0.79911111
1504440000000.0,0.07511991,0.07511991,0.07511991,0.07511991,0.2852
1504526400000.0,0.0746,0.0845,0.06792626,0.07070416,22.351323355
1504569600000.0,0.07126026,0.075,0.0703,0.0703,0.5855
1504612800000.0,0.075,0.075,0.075,0.075,0.0029
1504656000000.0,0.072,0.072819,0.072,0.072819,0.0159
1504699200000.0,0.0741408,0.0828,0.07216104,0.0726123,17.25262906
1504742400000.0,0.0732,0.0732,0.0732,0.0732,0.047748513
1504785600000.0,0.0732,0.074,0.0594,0.074,2.7746
1504828800000.0,0.0739,0.0739,0.0739,0.0739,0.1009
1504872000000.0,0.07092184,0.0745,0.07042139,0.0745,13.306260215
1504915200000.0,0.07,0.07,0.0677,0.0677,0.1201
1504958400000.0,0.06891587,0.075,0.06891587,0.075,0.6132
1505001600000.0,0.0701,0.0701,0.06945175,0.06945175,1.2
1505044800000.0,0.0749,0.0749,0.06975003,0.06975003,0.4634
1505088000000.0,0.07155928,0.07155928,0.07155928,0.07155928,0.1126
1505131200000.0,0.07002913,0.07126322,0.06965302,0.06965302,16.2995
1505174400000.0,0.06981329,0.0705,0.06981329,0.0705,0.53645
1505217600000.0,0.07119258,0.07119258,0.07097458,0.07097458,0.0583
1505260800000.0,0.0697978,0.07112172,0.0697978,0.07039865,6.4925
1505304000000.0,0.0696,0.0706336,0.0685,0.0706336,1.5634
1505347200000.0,0.071,0.07178745,0.071,0.07178745,0.158
1505390400000.0,0.06810887,0.0701201,0.06810887,0.06975094,34.4468
1505476800000.0,0.0687,0.077,0.0621,0.077,4.255
1505520000000.0,0.077,0.077,0.077,0.077,0.0706
1505563200000.0,0.07,0.07,0.07,0.07,0.1507
1505692800000.0,0.071,0.071,0.071,0.071,0.7791
1505736000000.0,0.0762,0.0762,0.0762,0.0762,0.1273
1505779200000.0,0.07398,0.0762,0.07398,0.0762,0.6405
1505822400000.0,0.0762,0.0762,0.0762,0.0762,0.10733
1505908800000.0,0.06955,0.072,0.06955,0.0699,0.14885
1505952000000.0,0.073,0.073,0.073,0.073,0.2095
1505995200000.0,0.073,0.0758,0.0702729,0.07139365,3.5153
1506081600000.0,0.07245447,0.0756,0.07245447,0.0756,0.1009
1506168000000.0,0.0724,0.0724,0.06955,0.06955,1.25
1506211200000.0,0.075,0.0757,0.075,0.0757,10.8076
1506254400000.0,0.0757,0.0825,0.0757,0.0825,12.096718869
1506340800000.0,0.0764,0.0764,0.07476712,0.07476712,0.5721
1506384000000.0,0.07546595,0.0798,0.07492853,0.0798,1.59335823
1506427200000.0,0.0746,0.0746,0.0746,0.0746,0.346255266
1506470400000.0,0.0746,0.0746,0.07439716,0.07439716,0.017528524
1506513600000.0,0.07286406,0.0743,0.07,0.0743,0.7125
1506556800000.0,0.0743,0.0795,0.0743,0.0795,0.11
1506600000000.0,0.074,0.074,0.074,0.074,0.0056
1506686400000.0,0.0702,0.0702,0.0702,0.0702,0.6369
1506729600000.0,0.0702,0.0703,0.0702,0.0703,0.5308
1506859200000.0,0.07021,0.073,0.0697,0.073,1.007246596
1506902400000.0,0.0697,0.0697,0.06751,0.06751,8.266400985
1506945600000.0,0.06751,0.0695,0.06751,0.0695,2.90564
1506988800000.0,0.0715,0.0715,0.0715,0.0715,0.13
1507032000000.0,0.06751,0.06841105,0.06751,0.06830967,1.962924
1507075200000.0,0.06804807,0.0717,0.06752402,0.06891948,1.53619153
1507118400000.0,0.06967248,0.06967248,0.06967248,0.06967248,0.504
1507161600000.0,0.06958765,0.06958765,0.0689,0.0689,0.39358434
1507204800000.0,0.06751,0.06841499,0.06713507,0.06841499,2.014624937
1507291200000.0,0.06900299,0.06989818,0.06900299,0.06989818,5.31667
1507334400000.0,0.07062347,0.0717,0.07062347,0.0717,0.1053
1507464000000.0,0.06829194,0.06829194,0.06829194,0.06829194,1.5425
1507507200000.0,0.06609658,0.06724222,0.06591911,0.06724222,3.282804678
1507550400000.0,0.06692738,0.06692738,0.0621,0.0621,14.37326233
1507593600000.0,0.06271203,0.06271203,0.06080379,0.06199578,16.21413685
1507636800000.0,0.06316386,0.06408494,0.06170825,0.06182668,2.0538542
1507680000000.0,0.0625,0.0625,0.06163767,0.06163767,1.0025
1507723200000.0,0.06335727,0.06335727,0.0622226,0.0622226,8.7768751
1507766400000.0,0.06257681,0.06257681,0.05843506,0.05843506,1.856701317
1507809600000.0,0.05942937,0.05942937,0.05588668,0.05588668,35.33280091
1507852800000.0,0.055,0.05936475,0.05250013,0.05854315,35.899676199
1507896000000.0,0.05978048,0.0698,0.05926195,0.06,18.6307
1507939200000.0,0.05943278,0.06004521,0.05943278,0.06004521,0.357
1507982400000.0,0.05996166,0.05996166,0.05996166,0.05996166,0.1147
1508025600000.0,0.0697,0.0697,0.05810344,0.0586883,2.425452179
1508068800000.0,0.05917253,0.05977479,0.05917253,0.05977479,1.5929
1508112000000.0,0.05996123,0.06167853,0.05996123,0.06098406,4.622943
1508155200000.0,0.05998613,0.05998613,0.05912589,0.05912589,2.29684862
1508198400000.0,0.05832015,0.05857066,0.05772789,0.05834585,1.38224802
1508241600000.0,0.05699487,0.05752754,0.05605586,0.05613994,2.5635
1508284800000.0,0.0565877,0.05661301,0.0565877,0.05661301,0.256507414
1508328000000.0,0.0566853,0.065,0.05567332,0.05659374,20.18515189
1508371200000.0,0.05565093,0.05621913,0.05469182,0.05477386,1.0724871
1508414400000.0,0.05416863,0.05545182,0.05343067,0.05354113,8.54771269
1508457600000.0,0.05426364,0.05443254,0.05426364,0.05443254,0.1859
1508500800000.0,0.05347301,0.05347301,0.0502337,0.0502337,7.528330788
1508544000000.0,0.05058091,0.05065678,0.04859688,0.04859688,0.888879485
1508587200000.0,0.04814652,0.04836999,0.04814652,0.04836999,0.905
1508716800000.0,0.047,0.047,0.047,0.047,0.7339
1508760000000.0,0.047,0.0589,0.047,0.0589,0.432
1508803200000.0,0.0585,0.0585,0.0585,0.0585,0.9
1508846400000.0,0.052,0.057,0.052,0.0521,4.322311841
1508889600000.0,0.056999,0.056999,0.056999,0.056999,0.223
1508932800000.0,0.052101,0.052101,0.0061,0.0386,2.0274
1509019200000.0,0.041001,0.041001,0.041,0.041,0.5
1509062400000.0,0.0568,0.05699,0.0568,0.05699,1.242
1509105600000.0,0.041701,0.0568,0.0417,0.0568,0.9997
1509148800000.0,0.04181,0.04181,0.04181,0.04181,0.4719
1509278400000.0,0.045201,0.045201,0.045201,0.045201,0.0033
1509408000000.0,0.049,0.049,0.049,0.049,1.0655357
1509494400000.0,0.04714041,0.04714041,0.04464613,0.04464613,9.22452069
1509537600000.0,0.0451392,0.04585186,0.0429738,0.04303826,15.48396164
1509580800000.0,0.04303826,0.0458,0.0382,0.04075815,52.76377561
1509624000000.0,0.04131829,0.04131829,0.0251,0.033,39.166509264
1509667200000.0,0.04023333,0.04026666,0.03261,0.03261,6.3189831
1509710400000.0,0.0349,0.0424,0.0349,0.0424,20.1223
1509753600000.0,0.04141368,0.04141368,0.0355,0.0355,5.564
1509796800000.0,0.0425,0.0425,0.0425,0.0425,0.03
1509840000000.0,0.04030401,0.04030401,0.04020359,0.04020359,12.0
1509883200000.0,0.03887682,0.03964534,0.03886233,0.03964534,3.33427645
1509969600000.0,0.04008603,0.0432,0.0036,0.04175596,66.574675292
1510012800000.0,0.04156289,0.0425,0.04147258,0.04147258,4.41159012
1510056000000.0,0.04080922,0.04152232,0.0405,0.04152232,17.6811292
1510099200000.0,0.04125479,0.04136892,0.04021928,0.04066209,17.92801708
1510142400000.0,0.04066209,0.0452,0.0042,0.04319442,66.79368471
